Halstead_b,Halstead_d,Halstead_e,Halstead_i,Halstead_l,Halstead_lOBlank,Halstead_lOCode,Halstead_lOComment,Halstead_n,Halstead_t,Halstead_v,Language,McCabe_ev(g),McCabe_iv(g),McCabe_loc,McCabe_v(g),SOFTWARE,branchCount,defects,locCodeAndComment,total_Op,total_Opnd,uniq_Op,uniq_Opnd
1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,1.0,1,1,1.0,1.0,1.0,1.0
0.28,21.52,17846.19,38.55,0.05,15,1,19,141.0,991.46,829.45,0,1.0,2.0,31.0,4.0,0,7.0,1,0,90.0,51.0,27.0,32.0
0.21,12.33,7914.68,52.03,0.08,27,4,22,111.0,439.7,641.73,0,1.0,3.0,29.0,5.0,0,9.0,1,0,74.0,37.0,22.0,33.0
0.42,27.11,33930.43,46.15,0.04,30,6,45,211.0,1885.02,1251.39,0,8.0,9.0,71.0,10.0,0,19.0,1,0,138.0,73.0,26.0,35.0
0.13,14.25,5493.37,27.05,0.07,9,0,7,74.0,305.19,385.5,0,1.0,2.0,15.0,2.0,0,3.0,1,0,47.0,27.0,19.0,18.0
0.33,18.46,18269.63,53.63,0.05,31,7,30,172.0,1014.98,989.84,0,1.0,5.0,33.0,6.0,0,11.0,1,0,104.0,68.0,19.0,35.0
2.08,26.64,166113.93,234.02,0.04,62,7,46,822.0,9228.55,6234.84,0,1.0,4.0,92.0,4.0,0,7.0,1,0,449.0,373.0,24.0,168.0
0.58,22.12,38620.28,78.96,0.05,36,6,14,269.0,2145.57,1746.31,0,1.0,7.0,44.0,7.0,0,13.0,1,0,154.0,115.0,25.0,65.0
1.67,28.52,142535.33,175.18,0.04,93,11,57,695.0,7918.63,4996.93,0,1.0,12.0,143.0,13.0,0,25.0,1,0,405.0,290.0,24.0,122.0
3.05,71.54,653537.1,127.7,0.01,155,14,170,1177.0,36307.62,9135.35,0,21.0,26.0,196.0,37.0,0,71.0,1,0,723.0,454.0,52.0,165.0
